Distance,Time,EField
0.620857,447.688,299.17
0.620859,447.682,299.172
0.620866,447.676,299.174
0.620866,447.668,299.178
0.620857,447.62,299.19
0.620831,447.532,299.211
0.620812,447.478,299.225
0.620794,447.41,299.243
0.620754,447.289,299.273
0.620731,447.204,299.295
0.620682,447.045,299.336
0.620673,446.995,299.351
0.620659,446.94,299.366
0.620651,446.882,299.384
0.620623,446.798,299.406
0.620606,446.759,299.416
0.620587,446.695,299.433
0.620582,446.682,299.436
0.620593,446.73,299.423
0.620602,446.763,299.414
0.620568,446.673,299.436
0.620524,446.565,299.464
0.620348,446.14,299.574
0.620247,445.894,299.64
0.620193,445.764,299.674
0.620142,445.641,299.708
0.620094,445.52,299.741
0.620009,445.33,299.793
0.619971,445.241,299.818
0.619934,445.163,299.837
0.619893,445.086,299.857
0.61986,445.023,299.873
0.619825,444.955,299.891
0.619798,444.897,299.907
0.619736,444.764,299.943
0.619699,444.691,299.962
0.619671,444.633,299.981
0.61965,444.581,299.995
0.61963,444.524,300.013
0.619592,444.434,300.041
0.619573,444.379,300.058
0.619576,444.38,300.059
0.619578,444.379,300.06
0.61958,444.379,300.061
0.619584,444.383,300.061
0.619589,444.389,300.061
0.619609,444.411,300.058
0.619622,444.425,300.055
0.619627,444.434,300.054
0.619643,444.46,300.048
0.619674,444.531,300.027
0.619696,444.581,300.012
0.619702,444.604,300.003
0.619712,444.634,299.994
0.619711,444.632,299.993
0.619704,444.624,299.994
0.61973,444.685,299.976
0.619733,444.693,299.973
0.620523,448.161,299
0.620523,448.168,298.998
0.620506,448.099,299.014
0.620476,448.013,299.032
0.620492,448.063,299.022
0.620509,448.119,299.009
0.620532,448.204,298.991
0.620551,448.253,298.98
0.620574,448.326,298.964
0.620582,448.361,298.958
0.624178,460.082,297.11
0.635353,510.832,292.525
0.636791,511.095,291.83
0.660316,533.821,281.16
0.6784,558.241,273.77
0.678423,558.268,273.756
0.678443,558.292,273.745
0.67845,558.298,273.739
0.678453,558.303,273.732
0.678462,558.309,273.728
0.678458,558.306,273.725
0.678456,558.297,273.726
0.678456,558.296,273.726
0.678608,558.537,273.687
0.685872,569.132,270.892
0.685884,569.149,270.888
0.685878,569.141,270.891
0.685869,569.132,270.894
0.685861,569.117,270.898
0.68585,569.101,270.903
0.685833,569.076,270.91
0.685821,569.059,270.915
0.685792,569.024,270.925
0.685786,569.007,270.928
0.685782,569.003,270.929
0.68578,568.999,270.93
0.685779,568.999,270.931
0.69622,584.84,267.078
0.696214,584.832,267.082
0.696197,584.81,267.093
0.696322,584.795,267.096
0.69631,584.778,267.1
0.696294,584.756,267.105
0.696281,584.733,267.111
