event_id,num_trajectory,num_hits,energies,hitx,hity,hitz
41,19,20,0.015346|0.025814|0.019838|0.013010|0.002153|0.012922|0.002054|0.005049|0.014074|0.008708|0.002112|0.001149|0.001658|0.004549|0.002907|0.003357|0.001444|0.000994|0.001702|0.000999|,235.152302|413.105325|534.080886|630.522841|653.978818|727.819865|741.320576|778.987237|896.495336|961.222743|896.494549|778.982185|741.319596|727.862787|727.741887|653.909024|630.508942|534.091109|413.087575|235.140280|,-157.846792|-263.777093|-329.698904|-378.911266|-390.445755|-425.671850|-431.935810|-449.127859|-500.129916|-526.561334|-500.028313|-449.103256|-432.013271|-425.608729|-425.685969|-390.425160|-378.939797|-329.664640|-263.784825|-157.864293|,-71.697798|-124.110954|-158.973694|-186.383743|-192.999859|-213.702159|-217.467764|-227.943751|-260.349476|-278.035409|-260.280895|-227.982136|-217.495565|-213.958734|-213.808018|-193.275706|-186.442676|-158.969355|-124.197415|-71.727575|
42,30,15,0.011932|0.016577|0.036744|0.003410|0.005421|0.015951|0.005747|0.028320|0.002555|0.001016|0.001673|0.001429|0.001970|0.001407|0.002230|,-192.873661|-301.290129|-526.740806|-539.033368|-585.176499|-681.851223|-701.635727|-887.210232|-701.572116|-681.849411|-585.150694|-539.048956|-526.690150|-301.262604|-192.932081|,173.820942|262.062932|426.545765|434.831338|465.342168|526.323638|538.328360|643.485822|538.194139|526.291779|465.286896|434.882543|426.515257|262.114419|173.731810|,163.417107|251.410618|427.112514|436.440556|471.250652|543.181660|557.743711|691.977837|557.812518|543.201108|471.309287|436.403578|427.207822|251.434693|163.335340|
43,31,33,0.018601|0.007219|0.010223|0.005632|0.004384|0.034319|0.010313|0.001890|0.018056|0.018486|0.001319|0.003596|0.001007|0.006611|0.004645|0.002334|0.002805|0.000336|0.002520|0.003465|0.004010|0.000299|0.003713|0.003187|0.001055|0.004389|0.001231|0.001026|0.000884|0.001848|0.001326|0.001046|0.005404|,-145.167571|-176.277260|-213.326309|-231.571934|-243.321391|-349.708493|-373.155212|-380.551361|-425.297809|-463.607465|-425.293135|-380.572369|-373.168339|-350.071211|-349.555112|-349.484457|-349.513256|-349.432080|-349.553701|-349.479558|-349.345283|-349.379448|-349.475718|-349.482122|-349.411496|-349.674972|-243.370056|-231.571624|-213.218116|-213.177796|-213.243357|-176.270547|-145.028015|,-242.236685|-299.715902|-371.282956|-407.900852|-431.997358|-672.085534|-731.487513|-750.828626|-874.977726|-993.118381|-875.009344|-751.027550|-731.469184|-672.487506|-672.307627|-672.509299|-672.748686|-672.600366|-672.436839|-672.435744|-672.196040|-672.564135|-672.571724|-672.699363|-672.566799|-672.325660|-432.001985|-407.881594|-371.376449|-371.318494|-371.328123|-299.738722|-242.057814|,-176.831837|-217.756297|-268.216904|-293.827241|-310.607039|-475.000250|-514.984365|-527.948625|-610.577552|-688.336164|-610.529725|-527.747628|-515.013730|-471.511509|-467.253493|-465.733305|-463.357913|-463.249804|-463.302770|-463.555380|-463.469848|-463.124737|-462.364327|-462.149537|-463.101313|-465.950752|-310.593234|-293.860187|-268.000698|-268.071126|-267.983056|-217.724972|-176.403380|
44,34,18,0.008969|0.000172|0.001923|0.005122|0.021774|0.020574|0.023990|0.021639|0.004824|0.004059|0.001076|0.002107|0.001147|0.003083|0.002097|0.004124|0.002038|0.001036|,142.506205|144.963991|156.921857|181.551804|305.669265|428.948497|575.434010|712.524189|739.268638|712.722459|575.418973|428.979226|305.647425|181.585244|156.899999|145.193717|145.174203|142.504009|,-188.530224|-191.612191|-206.529641|-236.863432|-382.195022|-515.313194|-660.787682|-785.877320|-809.134031|-786.079345|-660.811015|-515.201205|-382.234635|-236.819888|-206.574953|-191.605702|-191.494657|-188.526841|,30.912463|31.427900|33.927491|39.035796|64.031579|87.775524|114.807441|139.108378|143.752406|139.074169|114.837798|87.743830|64.030170|38.795325|34.042438|31.531023|31.514685|30.951177|
45,11,7,0.017201|0.030256|0.013451|0.055124|0.002202|0.003102|0.002351|,8.306420|-1.039556|-8.821115|-68.488737|-8.808549|-1.155509|8.413049|,295.288577|560.498901|661.859157|1093.857986|661.928037|560.322331|295.368236|,-98.716952|-187.384286|-221.356125|-367.151317|-221.240489|-187.368641|-98.770814|
46,18,11,0.031184|0.034381|0.002363|0.014160|0.012111|0.045159|0.001138|0.003207|0.001218|0.002069|0.001189|,195.398243|300.193004|306.401687|341.307931|372.947312|472.656961|372.908431|341.216639|306.363191|300.087379|195.406175|,321.907255|532.814958|546.470494|626.196309|703.341610|988.843464|703.358349|626.030684|546.494021|532.838775|321.877535|,306.482597|498.090465|510.291129|581.079435|648.890440|894.910235|648.875827|581.217520|510.269501|498.044638|306.520016|
47,21,14,0.013694|0.027135|0.015985|0.017571|0.049779|0.013658|0.001209|0.004549|0.001603|0.002355|0.001459|0.001993|0.001061|0.001088|,-205.085296|-350.440181|-450.082297|-557.013325|-877.122062|-966.045710|-877.154439|-556.734976|-450.104951|-350.357012|-204.863557|-204.818170|-204.783782|-204.836926|,143.098866|232.452360|288.428109|344.014766|484.866806|517.659817|484.860454|343.965049|288.497248|232.390066|142.848428|143.041372|143.051779|142.820255|,-203.893012|-342.991703|-436.152389|-534.387062|-819.565765|-896.830630|-819.528497|-534.567300|-436.124311|-343.097576|-203.861647|-203.909255|-203.926918|-203.846309|
48,58,51,0.032099|0.009181|0.022443|0.012194|0.006273|0.006013|0.005576|0.003140|0.002703|0.002032|0.014741|0.015974|0.006529|0.001143|0.004802|0.002338|0.001448|0.003710|0.001867|0.001332|0.001496|0.004230|0.001276|0.002064|0.002618|0.015948|0.009220|0.007680|0.009190|0.003524|0.005987|0.003689|0.003502|0.005170|0.008416|0.005024|0.003549|0.003453|0.003103|0.006964|0.001734|0.003658|0.005019|0.001077|0.001837|0.003270|0.003822|0.001037|0.005073|0.001196|0.004570|,367.530412|436.923878|585.240335|661.859404|706.763940|735.682671|779.438214|796.201907|811.745390|821.404498|918.325678|1004.771032|1043.205578|1042.037937|1004.735348|1004.597920|918.277154|821.174261|811.834698|796.161282|779.495823|735.956676|706.839267|707.007712|706.822160|706.856936|706.876816|706.739674|706.109504|706.743629|706.118364|705.985358|706.214331|706.053333|706.761665|706.715821|706.171356|706.403451|706.596253|706.475440|706.069404|706.765475|706.796760|706.836983|706.884562|706.901624|706.736516|661.889438|585.404927|436.962067|367.476718|,79.109165|98.586276|145.286027|172.174292|188.831817|199.916976|217.239646|224.051837|230.455125|234.476730|276.657148|317.158989|336.062677|339.665921|317.057892|317.070132|276.657330|234.555647|230.430254|224.050834|217.203262|200.019039|188.805764|188.381765|188.433564|188.325283|188.873728|189.129505|188.579496|188.814682|188.673366|188.349024|187.887256|188.007796|188.379702|188.134772|188.332728|188.054866|188.099762|188.097329|188.375038|188.804248|188.704187|188.864449|188.367051|188.319737|188.226652|172.155079|145.529096|98.570746|78.918525|,305.137887|363.614529|489.781137|555.657151|594.515245|619.635770|657.805469|672.482289|686.117195|694.603580|780.344314|857.774299|892.514378|923.873509|857.346949|857.316426|780.390064|694.475489|686.080691|672.524066|657.791511|619.649309|599.100693|607.095642|620.100277|665.340780|689.899650|715.331090|731.658671|741.720156|746.621408|748.182193|751.004522|754.827230|754.866858|755.129972|755.476191|756.962911|757.557496|758.054224|748.179684|743.028048|743.590789|689.898014|620.133361|606.973731|606.713573|555.642456|489.622526|363.588697|305.520549|
49,16,1,0.025319|,-440.559609|,-174.132557|,1076.159683|
50,21,0,,,,
