event_id,num_trajectory,num_hits,energies,hitx,hity,hitz
74,44,36,0.040330|0.013648|0.029337|0.037983|0.004100|0.004921|0.012816|0.002530|0.013795|0.008531|0.000764|0.000154|0.006044|0.005136|0.004681|0.001063|0.000575|0.003749|0.000191|0.004097|0.002721|0.004585|0.005609|0.001204|0.002761|0.001089|0.005577|0.003888|0.004826|0.002560|0.004862|0.001987|0.002428|0.001308|0.001958|0.002217|,-167.856157|-213.596236|-318.657397|-469.135702|-319.115980|-318.887515|-318.461955|-318.956033|-318.469994|-318.761364|-318.433402|-318.321536|-318.084161|-317.998225|-318.100145|-318.017722|-318.723552|-318.560190|-318.651669|-318.141419|-318.551022|-318.352240|-318.569172|-318.691299|-318.564931|-317.995362|-318.268994|-318.090162|-318.377797|-318.737061|-318.845389|-318.753948|-318.937942|-318.839461|-213.671636|-167.946055|,441.132843|539.185898|741.686748|990.518901|741.973933|741.639668|741.608085|741.089966|741.560548|741.480268|742.192004|741.156847|741.274347|741.840828|741.096211|741.292268|741.220369|741.379707|741.138147|741.414569|741.464718|741.391071|741.566675|741.109437|741.254250|741.311157|741.835990|741.184989|742.228588|741.554295|741.538697|741.548371|740.952653|741.630908|539.156375|441.082758|,291.385377|358.150432|498.936221|678.380807|511.265315|524.795469|567.853438|573.999793|602.613019|628.133370|628.923458|628.964482|631.658083|629.976752|629.400928|629.321782|629.437363|630.918348|630.887485|630.578650|629.800373|629.259755|629.304969|630.888380|629.348246|629.291734|629.777950|628.766689|629.468331|629.440538|630.135850|630.073468|574.060196|524.767561|358.076881|291.300464|
75,13,5,0.045814|0.076785|0.015271|0.002347|0.002413|,-443.732607|-966.598875|-1080.285415|-966.635067|-443.846046|,116.642060|180.979486|184.930856|180.884353|116.680808|,364.288037|782.624893|872.889608|782.517863|364.193680|
76,19,23,0.004845|0.016519|0.000738|0.015624|0.012795|0.008775|0.017524|0.015859|0.007059|0.027871|0.008096|0.001239|0.001390|0.001326|0.002059|0.002220|0.005386|0.001236|0.003669|0.001640|0.004040|0.005625|0.003502|,-19.759535|-27.760683|-28.011213|-32.025365|-33.451723|-33.251076|-29.561911|-23.665702|-20.634893|-0.780057|6.177632|-0.737407|-20.638072|-23.641334|-29.656093|-33.142946|-33.292880|-33.331831|-32.015096|-28.023920|-27.709952|-27.766600|-19.898258|,-188.558273|-307.988113|-312.808768|-416.157886|-516.777791|-566.617440|-704.496674|-809.267182|-850.278496|-1043.642344|-1095.982590|-1043.616589|-850.313102|-809.286655|-704.560069|-566.583768|-516.799717|-516.805298|-415.947690|-312.776275|-307.905827|-308.027319|-188.658327|,-100.663288|-164.197576|-166.759435|-221.648537|-275.043992|-301.491035|-374.684772|-430.369709|-452.193957|-555.367338|-583.399998|-555.379601|-452.141688|-430.320701|-374.708256|-301.422533|-274.615673|-274.582506|-221.846201|-166.834587|-165.514878|-166.159181|-100.887884|
77,40,9,0.002064|0.009470|0.080100|0.039778|0.027080|0.001309|0.003896|0.001479|0.001076|,-124.329449|-165.028456|-462.640005|-609.305803|-737.415358|-609.350193|-462.873474|-164.977375|-124.354999|,154.412887|200.743887|490.438718|607.297548|698.012505|607.280506|490.427144|200.738926|154.381019|,231.619485|303.627393|788.942381|1007.964770|1191.311556|1007.934561|788.744244|303.673515|231.617848|
78,25,0,,,,
79,20,13,0.004709|0.046079|0.029566|0.014501|0.020403|0.003726|0.002005|0.005290|0.001010|0.001182|0.001742|0.002258|0.001263|,37.517039|74.743983|84.791069|85.395859|80.234763|85.345224|84.870920|84.612309|84.842037|74.699022|37.524671|37.446967|37.561305|,217.710194|562.241364|791.657245|911.198645|1093.059185|910.970686|791.550617|791.606523|791.550062|562.229266|217.531198|217.488435|217.547174|,-60.907185|-156.446357|-219.742838|-252.686819|-302.843141|-252.847085|-220.400292|-220.698285|-220.423523|-156.455952|-61.308587|-61.416187|-61.343850|
80,25,15,0.028544|0.003639|0.017112|0.021161|0.009680|0.021245|0.035336|0.006113|0.002081|0.001146|0.002054|0.001010|0.001303|0.004425|0.003131|,-333.012762|-352.461433|-467.027187|-573.716377|-634.816920|-765.248527|-994.529078|-1032.642276|-994.606533|-765.252956|-634.828109|-573.745624|-467.036816|-352.623236|-332.821424|,-80.404034|-86.141303|-122.362667|-159.910656|-183.135631|-237.139871|-347.016020|-367.240970|-346.940802|-237.104064|-183.055658|-159.898390|-122.316466|-86.028483|-80.496313|,277.543295|293.966241|391.283333|482.890040|535.823522|650.094064|855.915991|890.830876|855.965491|650.121693|535.910713|482.870921|391.313316|294.325050|277.510264|
81,32,31,0.019142|0.026131|0.045555|0.015021|0.005885|0.002872|0.008474|0.001026|0.001278|0.001826|0.005967|0.013700|0.006713|0.005815|0.006788|0.004181|0.002615|0.003544|0.004556|0.004559|0.000872|0.003495|0.004352|0.002056|0.002382|0.004051|0.004769|0.002317|0.001124|0.002710|0.002757|,318.105960|521.502025|846.473961|963.424727|1007.142187|1028.277150|1094.792320|1028.268107|1007.117714|963.389425|847.594331|847.684686|847.025340|847.426144|847.399883|846.714103|847.541210|847.601167|847.667682|847.243459|847.519762|847.402273|847.454454|847.518226|847.612308|847.599007|847.413936|847.024387|847.722386|521.459833|318.047286|,-12.500429|-8.750828|16.272398|31.079699|37.416264|40.636160|51.437104|40.669414|37.445400|31.095120|16.873494|16.363974|16.230840|17.124194|17.139524|16.624173|16.893031|17.152665|17.020250|17.092458|16.988749|17.080042|17.104505|17.049291|17.086902|16.916844|16.684551|16.097459|16.366605|-8.657105|-12.392569|,-82.196561|-134.708003|-218.831475|-249.249361|-260.644556|-266.158510|-283.540146|-266.142651|-260.683429|-249.340932|-210.771992|-197.016330|-187.744428|-181.915749|-177.143047|-174.624009|-173.599103|-170.535855|-167.883452|-165.905636|-165.262013|-164.184605|-163.304341|-163.387887|-165.204519|-174.576864|-174.711193|-187.702442|-197.038839|-134.547347|-82.047300|
82,40,43,0.001648|0.012960|0.003021|0.011544|0.001080|0.007397|0.015425|0.025494|0.000172|0.005651|0.014777|0.007996|0.010492|0.001404|0.001836|0.002177|0.012176|0.005007|0.000615|0.003914|0.001871|0.005424|0.001213|0.002996|0.001685|0.001752|0.004185|0.001378|0.002730|0.003106|0.001855|0.001124|0.002558|0.001136|0.005364|0.002416|0.000385|0.003101|0.004933|0.005803|0.001528|0.001073|0.001413|,-173.290718|-267.877845|-288.873734|-366.805171|-375.974347|-431.306941|-529.761143|-679.591734|-681.300052|-712.419530|-796.852860|-852.440874|-911.543503|-923.439440|-938.976833|-960.654942|-1039.148110|-1082.135042|-1089.402425|-1082.002554|-1082.012409|-1039.383648|-960.636833|-938.845874|-923.406186|-911.603863|-852.155384|-796.899378|-712.417960|-681.117916|-679.537352|-529.731946|-431.221940|-375.985343|-366.803732|-366.893320|-288.762199|-288.930955|-289.159169|-289.304227|-288.692175|-267.860673|-173.247603|,3.493761|1.841737|1.134874|-2.573067|-3.121440|-6.934170|-15.861028|-34.751634|-35.004275|-39.753889|-54.062318|-64.629936|-76.872239|-79.462392|-82.909401|-87.840025|-106.887088|-118.120750|-120.076460|-118.253171|-118.196507|-107.007182|-87.885566|-83.045158|-79.536919|-76.891878|-64.661619|-54.031273|-39.636068|-35.000948|-34.723707|-15.864000|-6.879961|-3.157008|-2.611781|-2.518424|0.761552|1.043435|0.991715|1.208789|0.745477|1.805803|3.470570|,-147.443332|-227.921383|-245.791920|-312.171051|-319.986065|-367.175856|-451.286187|-579.768043|-581.236955|-608.013207|-680.855977|-728.982592|-780.320544|-790.676426|-804.214251|-823.125525|-891.834682|-929.626663|-936.028185|-929.080486|-929.165560|-892.119766|-823.118296|-804.129683|-790.655446|-780.254776|-728.918787|-680.831482|-608.163107|-581.365988|-579.848466|-451.319172|-367.315570|-319.961190|-312.253129|-312.174703|-245.044510|-243.302728|-242.370082|-242.502618|-245.046021|-227.929846|-147.484557|
83,21,29,0.002793|0.000917|0.020782|0.020536|0.012245|0.012764|0.001440|0.009212|0.013171|0.022703|0.006601|0.012166|0.005012|0.001037|0.001830|0.001054|0.001818|0.004590|0.004346|0.002220|0.001017|0.001104|0.001923|0.001243|0.004062|0.001807|0.001188|0.004220|0.001136|,-14.676141|-15.423171|-32.231069|-55.379629|-72.180902|-90.210046|-93.469976|-107.874101|-130.754063|-175.020614|-186.963293|-218.052272|-231.961952|-218.043630|-186.917642|-175.004324|-130.741461|-107.813183|-93.419150|-93.466163|-90.239158|-72.200355|-55.240966|-55.203985|-32.111443|-32.289158|-32.335053|-15.379123|-14.655384|,177.828399|184.671576|314.918294|452.470888|535.925902|615.682111|629.242502|686.546767|770.200282|913.064805|948.270300|1034.663289|1071.172093|1034.694361|948.353035|913.096313|770.135277|686.249336|629.104616|629.191163|615.690039|535.895210|452.535576|452.567402|314.920375|314.863000|314.872599|184.390981|177.860881|,-156.314308|-162.343837|-277.375642|-399.570806|-474.140370|-545.761630|-557.977563|-609.737947|-685.706932|-816.711219|-849.272448|-929.690379|-963.913850|-929.669066|-849.255049|-816.693587|-685.778174|-609.702946|-557.400972|-557.492246|-545.739350|-474.162924|-399.703324|-399.720112|-277.740911|-277.816527|-277.826554|-162.445584|-156.291531|
84,18,23,0.030454|0.011671|0.013930|0.022865|0.007206|0.003989|0.006984|0.012501|0.001315|0.002473|0.001118|0.003674|0.003288|0.000704|0.004527|0.003807|0.001063|0.001154|0.001889|0.001107|0.003730|0.002242|0.001400|,-383.912342|-476.640317|-592.507202|-787.336378|-857.238109|-911.022655|-955.515493|-1059.816825|-1077.114457|-1091.357472|-1077.125608|-1060.188464|-1059.955361|-1060.026133|-1060.074991|-1059.915447|-955.522088|-911.012657|-857.185538|-787.353740|-592.583205|-476.710416|-383.895732|,-5.935705|-12.115694|-22.460155|-46.454695|-57.107291|-66.045296|-73.928099|-94.159891|-97.757522|-100.771368|-97.746710|-94.291212|-94.392647|-94.243633|-94.537215|-94.251654|-73.924564|-66.073971|-57.181635|-46.425296|-22.481483|-12.059966|-5.967343|,29.927595|37.168053|46.227347|61.511837|67.013518|71.258593|74.777624|83.051386|84.426270|85.559469|84.385100|85.021534|86.615139|86.881199|86.973871|87.212272|74.737774|71.223926|66.967967|61.485753|45.892891|37.063565|29.980032|
85,16,12,0.022436|0.021486|0.060917|0.009026|0.000255|0.025494|0.003686|0.004067|0.001191|0.001017|0.001074|0.001895|,274.392416|411.417377|761.482881|813.760262|817.046053|957.969528|817.045373|816.813085|813.783423|761.506949|411.398162|274.303661|,112.506756|179.534419|388.195162|424.481403|426.810950|532.456930|426.844066|426.777090|424.444005|388.167581|179.569260|112.551825|,-280.681609|-424.920176|-810.578926|-870.771740|-874.581766|-1041.194355|-875.241894|-875.457106|-870.791564|-810.586242|-424.911440|-280.702052|
86,17,5,0.071984|0.023354|0.048137|0.001856|0.001022|,-611.707535|-766.022421|-1085.676054|-766.089981|-611.726353|,126.379027|141.028672|150.078334|141.018766|126.407825|,526.836320|657.362068|926.716678|657.288130|526.820939|
87,18,17,0.000539|0.000652|0.006172|0.006190|0.008265|0.003226|0.034013|0.064630|0.002177|0.002003|0.001487|0.003792|0.003919|0.002010|0.001350|0.004839|0.001250|,-24.837527|-25.957897|-33.992214|-38.869842|-43.582971|-46.027639|-60.991708|-46.983443|-45.818231|-47.064207|-60.940527|-45.875679|-43.557686|-38.766852|-33.934799|-25.895558|-24.826671|,-162.842491|-171.339956|-236.655611|-281.051453|-328.723487|-355.885867|-632.335064|-1081.496709|-1095.041867|-1081.571985|-632.301846|-355.773430|-328.489455|-281.013249|-236.642778|-171.073706|-162.821020|,-74.611358|-78.491263|-108.282433|-128.498752|-150.181774|-162.524982|-287.869610|-491.400410|-497.554047|-491.391105|-287.902263|-162.269736|-150.380956|-128.479675|-108.283826|-78.239232|-74.658319|
88,27,0,,,,
89,30,18,0.010599|0.003353|0.006991|0.027053|0.001278|0.020362|0.066581|0.003656|0.002873|0.002412|0.005166|0.005190|0.001483|0.001535|0.001923|0.003881|0.004596|0.002656|,225.702496|240.925143|283.901532|445.894112|455.169201|558.638508|953.227272|977.865960|953.284576|953.244427|558.438159|558.553868|455.228576|445.858669|283.814409|240.951175|241.138198|225.676369|,83.120104|89.333105|107.302809|180.862682|185.361633|237.741727|477.655715|494.968851|477.935295|477.858408|237.782076|237.511676|185.344581|180.838774|107.357046|89.298328|89.495091|83.238879|,-183.522180|-196.067292|-231.610268|-367.370990|-375.237064|-463.736174|-816.360061|-839.337533|-816.175318|-816.044671|-464.636911|-464.771464|-375.206667|-367.431223|-231.626365|-195.979219|-195.749504|-183.388317|
90,21,15,0.040218|0.033716|0.009739|0.018147|0.019437|0.031558|0.001499|0.001640|0.003290|0.004435|0.002705|0.001345|0.003773|0.002002|0.001735|,263.182977|376.805799|422.047157|479.329279|520.075774|606.218914|608.656475|606.267612|520.315406|520.234578|520.342216|479.349749|422.268593|376.915596|263.166139|,318.661032|484.919388|557.549774|655.842590|730.747181|906.098967|911.456688|906.057968|730.748162|730.722659|730.813852|655.804532|557.612946|484.931796|318.724709|,392.901597|584.300382|665.621028|773.738935|854.787237|1040.561305|1046.158310|1040.612368|855.152619|855.874967|855.991774|773.779332|665.800169|584.295405|392.840616|
91,23,13,0.007313|0.010536|0.037295|0.001528|0.031135|0.015248|0.028356|0.001877|0.001368|0.001076|0.001070|0.001352|0.001498|,-188.785287|-264.315263|-544.998330|-555.405232|-738.126926|-864.062242|-1056.352902|-864.039765|-738.094753|-555.400089|-545.021474|-264.296595|-188.800377|,76.534567|103.992102|190.975518|193.756863|237.612248|262.448478|292.120773|262.513002|237.609811|193.795780|190.967688|104.036974|76.601400|,-136.704204|-190.631473|-387.881675|-395.109472|-521.203702|-607.322076|-737.870893|-607.398584|-521.255600|-395.120861|-387.848927|-190.665641|-136.691382|
92,25,29,0.012996|0.000783|0.043977|0.005166|0.008729|0.012680|0.011222|0.005340|0.004825|0.003892|0.005351|0.007030|0.003870|0.003967|0.002855|0.003535|0.002984|0.004540|0.003558|0.002107|0.001174|0.001171|0.005341|0.001007|0.000998|0.001891|0.001851|0.001313|0.003844|,223.021548|235.506345|517.341500|548.664056|581.325151|646.140214|702.462398|730.417844|748.790842|768.376096|747.570358|747.938247|747.428745|747.469894|747.272978|747.492280|747.440533|747.439497|747.586260|747.513364|747.588921|730.451680|702.434530|646.139279|581.341098|548.627983|517.426323|235.554519|222.812867|,190.306758|201.707391|483.404882|517.906834|554.643176|629.959578|698.174917|733.048101|756.354401|781.546016|756.170161|755.949296|756.120440|756.140012|755.537158|756.011337|755.973281|755.973280|755.781918|755.976562|756.127307|733.042994|698.345662|629.968216|554.630619|517.901379|483.383069|201.689372|190.245919|,51.337125|54.295918|124.054899|132.209217|140.811008|158.198965|173.679901|181.504173|186.698710|192.280821|191.251039|194.477798|195.470661|194.939580|194.579675|195.821722|196.342314|196.919864|197.007259|196.443734|191.256532|181.471720|173.137986|158.162858|140.841342|132.308304|124.100318|54.272479|51.116475|
93,19,27,0.001186|0.004481|0.016752|0.002779|0.029856|0.003203|0.002598|0.012296|0.013007|0.006563|0.011475|0.002178|0.001605|0.004225|0.002342|0.001087|0.005718|0.001189|0.001279|0.002450|0.000614|0.002538|0.004134|0.001455|0.001985|0.003956|0.001100|,-155.923167|-205.187456|-344.779943|-371.437122|-609.218557|-636.931168|-655.433839|-744.425489|-850.212785|-907.975198|-1007.063309|-1030.145792|-1007.080905|-907.874335|-907.883475|-849.957974|-849.978860|-849.917290|-744.436513|-655.402639|-636.918447|-636.984425|-609.471831|-371.432877|-344.816460|-205.048724|-155.914525|,75.326822|97.626157|157.046065|167.774903|255.035427|264.240430|270.276840|298.098391|328.588335|344.077779|368.771715|374.186646|368.756607|344.108284|344.210464|328.331569|328.475349|328.340807|298.142119|270.149417|264.257116|264.302595|255.103148|167.713387|157.114274|97.573416|75.329587|,40.161288|52.697293|87.868185|94.532045|153.272789|160.046955|164.561537|186.191629|211.736211|225.614559|249.317353|254.820873|249.240621|224.833437|224.728044|211.779402|212.414015|211.755389|186.161361|164.479143|160.120238|160.272845|153.098891|94.557369|87.786785|53.026623|40.203205|
94,12,15,0.017433|0.051903|0.009952|0.021410|0.012864|0.001602|0.001086|0.004292|0.005724|0.002583|0.002930|0.004469|0.003619|0.002260|0.002987|,314.190538|700.106289|799.524914|982.158089|1090.656664|982.184374|799.543499|700.170279|700.061834|699.815839|699.530507|699.376250|699.506391|699.401992|314.054982|,4.675859|39.479802|53.714391|85.591047|108.092745|85.565455|53.677448|39.461047|39.180552|39.698339|39.339404|39.354943|39.432631|39.502516|4.779839|,-12.800925|-28.592535|-32.677873|-40.215737|-44.713316|-40.145042|-32.681126|-33.457790|-34.531249|-34.520024|-34.189061|-35.495067|-36.136595|-36.086814|-12.676672|
95,24,23,0.022232|0.005023|0.001960|0.014720|0.003211|0.003617|0.002045|0.001183|0.002178|0.014257|0.047228|0.003728|0.002682|0.001694|0.002072|0.001434|0.002286|0.001779|0.003482|0.003903|0.001117|0.001182|0.002030|,300.745359|343.491934|354.581518|454.123578|470.937878|491.740996|500.023606|512.664968|527.578038|636.710757|917.143223|636.682304|636.751296|527.577984|512.561717|500.070478|491.683352|471.021422|454.002554|354.822608|343.460881|300.651985|300.556681|,162.249499|187.787075|194.518440|256.951333|267.861287|281.508067|286.987146|295.401353|305.407581|381.331352|600.053589|381.135957|381.294355|305.383546|295.453483|286.974271|281.567452|267.824614|256.883607|194.637339|187.808270|162.327268|162.272702|,-103.796154|-118.919338|-122.859648|-158.551667|-164.637067|-172.190800|-175.206375|-179.817127|-185.269589|-225.632408|-333.748034|-225.393331|-225.396474|-185.354117|-179.799583|-175.162312|-172.074080|-164.627223|-158.806707|-122.779870|-118.941263|-103.661191|-103.632700|
96,17,24,0.011144|0.000102|0.030991|0.006702|0.000145|0.017621|0.014766|0.034791|0.004194|0.003455|0.000329|0.005895|0.000239|0.002922|0.004399|0.003212|0.002605|0.001774|0.001982|0.001052|0.001426|0.006193|0.001016|0.003002|,-262.680941|-265.784968|-479.658858|-539.340739|-541.567752|-704.888882|-801.439360|-1079.366506|-801.156669|-801.031488|-801.237337|-801.572202|-801.396071|-801.447182|-801.472149|-801.212886|-801.467092|-801.219386|-704.943492|-541.575870|-539.369075|-479.669782|-265.799099|-262.750393|,-22.393224|-22.747297|-52.243484|-62.282721|-62.672827|-94.332486|-115.908535|-190.220784|-116.099580|-116.010871|-115.511606|-116.023192|-115.979281|-116.043794|-116.182203|-115.855624|-116.073885|-115.574614|-94.278430|-62.663820|-62.247090|-52.321099|-22.717520|-22.356216|,-15.138711|-15.318187|-27.723755|-31.204757|-31.334696|-40.898723|-46.578085|-63.113194|-41.425519|-40.869588|-40.519249|-40.145330|-40.235773|-40.763970|-40.347637|-40.252350|-40.014241|-40.452928|-40.980317|-31.296711|-31.158201|-26.908860|-15.300561|-15.357738|
97,23,7,0.004655|0.033670|0.048645|0.025170|0.002493|0.004246|0.001692|,-205.554565|-476.580768|-888.730799|-1073.167021|-888.697604|-476.414226|-205.531570|,-21.963923|-65.529070|-164.698235|-222.550097|-164.763974|-65.471222|-21.969563|,-48.955782|-113.949167|-214.350559|-260.118089|-214.199974|-114.302469|-49.040220|
98,32,13,0.003120|0.004780|0.014612|0.024695|0.026142|0.045980|0.017127|0.001039|0.001180|0.002043|0.001123|0.002113|0.001083|,-127.900010|-155.986798|-219.367704|-329.440537|-444.502694|-597.452869|-666.403120|-597.447931|-444.543699|-329.333401|-219.384445|-156.093860|-127.907326|,-131.437853|-162.034151|-233.581143|-366.838177|-520.275899|-752.293588|-870.128084|-752.273652|-520.255872|-366.826535|-233.601394|-161.999223|-131.461089|,-123.370005|-151.304270|-215.592552|-331.849925|-460.870018|-647.815251|-739.644681|-647.848378|-460.883084|-331.890197|-215.557022|-151.349676|-123.336211|
99,33,15,0.045132|0.013846|0.004155|0.011290|0.008997|0.029131|0.002531|0.001627|0.001321|0.002835|0.001026|0.001651|0.001627|0.003172|0.001761|,220.229345|272.516575|285.534886|323.042058|352.924719|489.029442|497.167052|489.066915|352.894362|323.121376|285.507570|272.474720|220.455921|220.493114|220.382097|,-509.394405|-608.614286|-632.372552|-698.923464|-750.058376|-964.752623|-976.750184|-964.751603|-750.069109|-698.806809|-632.389569|-608.632397|-509.526524|-509.366892|-509.478278|,225.952153|271.572029|282.590717|313.662839|337.754578|441.186546|447.085843|441.113991|337.802441|313.521987|282.610870|271.641921|225.545830|225.373154|225.526000|
100,50,100,0.008976|0.000963|0.008236|0.013849|0.000982|0.010482|0.012527|0.002673|0.007235|0.015858|0.006140|0.000231|0.022084|0.012173|0.004946|0.004316|0.005192|0.004294|0.004260|0.001163|0.002534|0.000088|0.000195|0.018852|0.000259|0.011052|0.002518|0.015349|0.000446|0.006084|0.007486|0.001435|0.008945|0.000185|0.001068|0.006760|0.006667|0.004790|0.005252|0.003915|0.003282|0.004918|0.004125|0.000714|0.003457|0.003368|0.001462|0.000020|0.002729|0.001556|0.002277|0.002268|0.000992|0.002889|0.001195|0.001547|0.003000|0.001096|0.001330|0.001391|0.001092|0.002495|0.002728|0.004380|0.003417|0.002587|0.002063|0.002962|0.001696|0.001102|0.003976|0.001682|0.001223|0.001459|0.001184|0.005572|0.005575|0.005172|0.001225|0.002964|0.005140|0.004521|0.003248|0.004835|0.003309|0.003364|0.002920|0.002435|0.001249|0.001063|0.003153|0.003348|0.006924|0.001835|0.000196|0.004710|0.001207|0.001388|0.001860|0.001030|,114.086048|116.011034|145.283333|201.718192|204.809210|250.618249|307.719104|318.243562|347.963840|421.735305|451.552908|455.818034|552.387866|613.804919|552.454781|552.296259|455.564041|451.594904|451.444714|421.719539|348.790217|348.934456|349.722734|359.887536|359.716432|358.758734|359.993679|358.661250|359.797441|359.445552|360.427972|359.276727|359.035087|359.984397|360.161515|359.434852|359.293523|359.304312|360.107847|359.237436|360.037501|360.246600|359.942033|360.123546|359.929522|359.734920|360.087165|360.096312|360.088516|360.091165|360.031854|360.097384|359.950495|359.311006|359.292443|360.108444|359.914967|359.261017|360.462912|359.447090|359.790519|359.982944|360.203558|359.925586|360.216266|360.078825|360.146132|358.930886|359.727805|359.862789|349.795831|349.719106|348.955335|348.855800|318.220951|307.922040|250.772600|250.689565|250.667708|204.500580|204.997971|205.091918|204.811783|205.372638|205.332647|205.304079|205.606394|205.560734|204.461334|201.699859|145.125905|144.955033|145.499959|145.260855|145.363118|145.395827|145.361128|145.253690|116.021562|114.064821|,-210.402568|-213.730555|-263.527889|-355.539462|-360.435266|-431.379105|-515.842907|-530.958308|-572.926959|-672.777346|-711.523335|-716.994459|-836.322177|-907.997534|-836.216991|-835.987105|-716.835700|-711.492758|-711.349211|-672.775147|-572.932732|-573.610702|-573.697500|-570.160434|-568.723721|-568.957015|-569.925434|-570.118620|-569.669574|-570.384960|-569.678136|-570.137283|-569.745650|-570.215907|-569.745308|-569.538752|-569.720696|-569.704071|-569.999093|-570.008381|-569.949611|-569.430830|-570.005590|-569.502359|-570.003096|-570.235710|-570.315408|-570.308227|-570.142506|-570.333611|-570.209266|-569.420288|-570.037331|-569.931235|-569.700161|-569.717179|-570.106834|-570.175918|-569.669378|-570.342520|-569.696184|-570.057343|-569.823423|-570.104208|-569.920427|-569.834492|-570.003607|-568.935547|-568.667011|-570.160067|-573.879581|-573.845718|-573.646750|-572.938310|-530.966199|-515.824814|-431.109246|-431.295003|-431.334302|-359.847657|-360.215475|-360.140549|-359.789731|-359.847233|-359.623047|-359.613619|-359.733340|-359.591186|-359.864822|-355.570998|-263.558220|-263.135091|-263.324163|-263.468728|-263.464825|-263.160734|-263.418203|-263.407568|-213.782646|-210.409947|,-87.135374|-88.534656|-109.559650|-148.852644|-150.960683|-181.713215|-218.840119|-225.547687|-244.274437|-289.459654|-307.253380|-309.777927|-365.645178|-399.988591|-366.086613|-365.935293|-309.839089|-307.084738|-306.770466|-289.503795|-254.731256|-255.493651|-256.506770|-293.319036|-294.010941|-309.937065|-312.815602|-314.942332|-316.208218|-332.752356|-332.133575|-331.200169|-324.518538|-324.004455|-321.493634|-307.001129|-298.831058|-293.658493|-289.268905|-288.979742|-288.827564|-286.636548|-285.522617|-285.119664|-284.699999|-285.471831|-285.583672|-285.599426|-285.668762|-285.670979|-285.515849|-285.008328|-285.537131|-289.164342|-298.786562|-321.537048|-324.186922|-331.194673|-332.087791|-332.706425|-316.240195|-315.779312|-317.865259|-318.420023|-318.086553|-318.059648|-318.043875|-310.050399|-294.075630|-293.354024|-257.027015|-257.027658|-255.465086|-254.719845|-225.589559|-218.342426|-180.586153|-180.734208|-180.757286|-147.313155|-143.670283|-142.173472|-141.384043|-142.129535|-143.733828|-145.018233|-145.107837|-145.094680|-147.343068|-148.835820|-109.807437|-108.561230|-108.837510|-108.440863|-108.420556|-108.441068|-108.404873|-108.439133|-88.447685|-87.166494|
200,37,61,0.012200|0.023103|0.024140|0.000169|0.002401|0.021469|0.001353|0.019776|0.004748|0.006220|0.001380|0.000746|0.000194|0.013574|0.015334|0.017089|0.007042|0.000121|0.018591|0.020889|0.007200|0.007568|0.026998|0.001746|0.001238|0.002634|0.001624|0.002755|0.002939|0.002779|0.003064|0.003071|0.002364|0.001605|0.004916|0.003032|0.001061|0.001235|0.001636|0.001443|0.001756|0.000904|0.001322|0.003574|0.001833|0.001295|0.001931|0.001388|0.000516|0.004750|0.003764|0.000122|0.000044|0.004146|0.001611|0.005418|0.001009|0.002779|0.001100|0.006732|0.001050|,-212.800453|-364.065861|-561.424789|-562.729042|-587.929242|-734.648169|-749.558991|-894.310379|-918.803346|-955.708061|-955.049760|-955.054424|-955.102328|-952.980481|-949.371711|-948.650286|-943.268621|-944.879582|-938.846912|-932.634485|-931.018552|-930.263476|-935.528373|-934.728791|-935.579304|-930.341039|-931.005980|-932.780986|-932.733853|-932.494209|-932.622512|-932.438276|-932.443461|-932.360902|-932.994882|-938.678308|-944.862404|-943.237146|-948.690497|-949.342352|-952.921075|-955.209451|-955.085199|-955.195520|-918.813761|-894.300494|-749.566120|-734.671163|-588.361300|-588.080350|-588.219854|-588.127077|-588.087915|-588.095596|-588.129378|-588.209970|-588.395908|-562.734077|-561.434703|-363.933191|-212.817633|,148.064118|242.422292|353.144082|353.831686|367.007380|439.630487|446.629236|511.058452|521.341390|536.505454|537.676442|537.668158|535.737260|536.314525|536.729885|536.320606|536.880102|536.278591|544.888878|539.042483|530.197352|535.685923|543.981513|542.719871|543.980037|535.578474|530.271429|539.407647|538.837163|539.164769|539.286484|539.211938|539.178083|539.207832|539.325515|544.827959|536.250837|536.903325|536.266197|536.696261|536.325156|535.869756|535.828582|536.040663|521.255875|511.017881|446.531078|439.647096|367.096047|367.232165|366.866105|366.912826|366.935476|367.220887|367.001069|366.757331|367.106116|353.693698|353.102943|242.445794|148.031327|,-102.329058|-172.710603|-262.048600|-262.630630|-273.856842|-338.500354|-345.004275|-407.574276|-418.063665|-433.819768|-441.194010|-449.586762|-451.778250|-520.312445|-609.946749|-697.076939|-738.781990|-740.598171|-854.715857|-994.059067|-1031.029152|-1065.775056|-1198.350163|-1205.231804|-1198.355340|-1065.658896|-1031.003054|-996.810418|-996.837653|-997.674750|-998.640398|-998.351391|-998.199826|-998.344160|-997.191778|-854.833528|-740.574826|-738.815329|-697.032351|-609.996056|-520.381861|-451.998355|-452.077702|-452.179097|-418.018991|-407.610841|-344.967368|-338.444413|-273.300031|-270.747716|-268.953585|-268.777405|-268.770808|-268.709436|-268.781172|-268.230931|-273.292334|-262.495841|-262.048225|-172.139652|-102.315794|
