energies,initx,inity,initz,tot_dist,dEdx,beta_gamma
1995.75,367.151,949.804,138.336,947.086,0.00019213,19.8636
1995.26,-447.06,877.796,518.083,1060.42,0.000192125,19.8589
1977.94,-742.814,746.469,-12.9075,938.609,0.000191924,19.6948
12.5325,-108.341,121.98,-3.09591,1001.06,0.000537468,25.5059
3.30562,-75.3073,-141.169,-81.3454,2019.3,0.00154022,inf
0.449987,-104.155,121.456,-2.55089,3011.9,0.00780531,inf
0.0551774,-105.167,120.582,-4.27129,4014.04,0.0327598,inf
1995.28,-1044.5,-17.3961,728.566,1145.01,0.000192125,19.8591
1999.81,433.83,-369.981,1035.26,726.472,0.000192177,19.902
1993.61,449.085,880.035,-759.848,1184.45,0.000192105,19.8432
1999.82,-312.737,-738.179,1025.3,1180.23,0.000192177,19.9021
1995.51,685.495,728.726,378.655,1003.45,0.000192127,19.8613
1988.88,-845.872,639.991,-319.807,980.212,0.000192051,19.7985
5.69054,-118.037,108.016,-49.1201,1022.32,0.000990807,12.0948
0.113218,109.485,-200.874,-370.978,2124.75,0.0213047,inf
1994.48,-80.7817,899.753,-425.511,1037.49,0.000192116,19.8515
1999.79,-264.348,-785.61,1089.37,1146.84,0.000192177,19.9018
1995.18,-548.772,-814.063,-289.293,978.492,0.000192124,19.8582
1995.83,-932.517,518.062,-292.526,973.089,0.000192131,19.8643
32.2067,-958.673,420.572,-456.921,1162.34,0.000286929,64.0191
19.2093,-1009.27,427.317,-595.329,1262.48,0.000396915,38.5787
7.10785,-999.77,449.083,-663.423,1278.24,0.000830072,14.8761
0.100204,-999.823,448.965,-663.307,2135.96,0.0230709,inf
0.0526214,-1000.66,447.102,-662.635,2785.28,0.0335596,inf
0.0314212,-1009.3,427.235,-595.295,3639.79,0.0419725,inf
1994.64,-127.312,1002.04,-44.7711,939.462,0.000192117,19.853
1999.78,-445.333,-727.594,1072.58,1202.17,0.000192177,19.9018
0.0738731,-475.983,-806.553,1174.1,3114.38,0.0278357,inf
1996.07,-118.567,1047.65,-448.76,1019.95,0.000192134,19.8665
1991.57,-717.186,-775.176,-940.62,1257.67,0.000192082,19.8239
2.16885,-122.664,-102.73,-141.65,1512.44,0.0021782,5.14811
1999.79,-901.291,234.098,994.724,1358.87,0.000192177,19.9018
1995.6,-531.35,-611.849,-286.317,995.465,0.000192128,19.8622
1999.83,-280.516,-120.841,-462.537,969.791,0.000192177,19.9022
1999.8,573.652,-791.747,-1167.59,1269.05,0.000192177,19.902
1999.82,428.402,184.974,-901.638,623.173,0.000192177,19.9021
1995.26,229.12,422.634,182.645,1004.34,0.000192125,19.8589
1999.82,130.748,-418.871,-1057.99,12.7575,0.000192177,19.9021
1997.53,850.66,538.149,-960.052,1294.6,0.000192151,19.8804
1999.74,512.635,343.063,-1093.22,763.771,0.000192176,19.9014
1996.19,306.732,986.919,-251.219,965.966,0.000192135,19.8677
1995.36,-16.7412,-796.826,180.216,962.303,0.000192126,19.8599
1992.12,610.79,321.341,-45.7848,940.653,0.000192088,19.8291
1993.98,-716.057,673.839,-306.36,983.103,0.00019211,19.8468
1996.08,335.121,843.416,254.553,974.906,0.000192134,19.8667
1999.71,681.073,-301.651,962.168,1167.37,0.000192176,19.9011
1999.84,410.68,58.075,-869.897,456.881,0.000192177,19.9023
1995.2,915.597,-517.367,-908.921,1241.17,0.000192124,19.8583
1995.49,-438.522,-883.753,79.1246,941.459,0.000192127,19.8611
1999.77,-358.779,-711.017,1028.9,1167.87,0.000192176,19.9016
1991.96,887.904,-469.304,601.048,1094.13,0.000192086,19.8276
3.40972,361.775,-206.635,961.828,2071.39,0.00150158,7.60722
3.40596,354.835,-216.19,981.791,2092.48,0.00150294,7.59979
1996.15,-25.961,-157.88,-48.2167,979.517,0.000192135,19.8674
1999.79,549.016,-749.192,-962.903,1341.02,0.000192177,19.9018
1995.63,-891.718,182.045,-240.395,970.748,0.000192129,19.8624
1995.97,-116.398,1059.24,317.49,979.235,0.000192133,19.8656
1999.64,974.52,295.899,1063.18,1344.55,0.000192175,19.9004
1995.96,-924.951,-344.334,470.956,1040.16,0.000192133,19.8656
1999.77,-343.533,-1008.96,1199.79,1348.49,0.000192177,19.9016
1995.88,-700.105,147.805,-40.4787,940.011,0.000192132,19.8648
1999.8,176.744,-670.092,1094.71,919.904,0.000192177,19.9019
1994.59,-332.996,985.481,699.091,1130.78,0.000192117,19.8526
1999.48,-358.945,225.823,1009.81,66.4422,0.000192173,19.8989
1999.8,331.968,368.342,1052.57,430.686,0.000192177,19.9019
1995.9,-455.328,594.168,13.4994,938.632,0.000192132,19.8649
1999.79,828.107,-358.068,1116.96,1221.94,0.000192177,19.9018
1999.82,458.399,71.5427,-996.48,401.042,0.000192177,19.9021
1994.7,205.787,-975.056,240.503,965.376,0.000192118,19.8536
1995.49,854.75,16.3781,292.486,991.857,0.000192127,19.8611
1994.32,-522.675,-934.486,136.165,946.092,0.000192114,19.85
4.85492,-501.101,-963.432,114.07,988.514,0.00112602,10.4531
1999.78,-179.906,-1056.7,-1185.01,1373.47,0.000192177,19.9017
1990.34,-116.089,913.311,-492.212,1064.45,0.000192068,19.8123
1992.31,350.944,942.55,-784.695,1191.12,0.00019209,19.8309
1991.73,386.397,-960.078,281.573,972.832,0.000192084,19.8254
1995.17,528.508,780.755,-438.004,1035.45,0.000192123,19.858
1996.01,-506.136,406.914,-0.507108,938.464,0.000192133,19.866
1999.8,-741.325,-123.726,1126.41,985.98,0.000192177,19.9019
1996.09,1007.99,194.424,-328.474,985.512,0.000192134,19.8667
1999.84,-162.593,-560.263,895.94,954.169,0.000192177,19.9023
1999.75,-863.691,-65.1297,-1120.19,1167.29,0.000192176,19.9015
1995.74,-285.521,-848.175,-180.941,957.686,0.00019213,19.8635
1994.29,782.747,529.378,692.225,1165.08,0.000192113,19.8497
1995.88,-780.903,-682.436,-656.769,1110.65,0.000192132,19.8648
1994.46,482.787,-530.403,577.244,1205.85,0.000192115,19.8513
1993.15,-929.536,-487.57,924.441,1251.69,0.0001921,19.839
1995.94,-188.884,983.495,-342.256,991.882,0.000192132,19.8653
1994.74,-299.55,1031.24,-591.527,1071.89,0.000192119,19.854
